,distrito_origen,distrito_destino,hora_inicio,minuto_inicio_aprox,auto/transporte,num_coincidencias,lat_origen,lng_origen,lat_destino,lng_destino
0,Aeropuerto,Del Valle,15,0,auto,1,19.4360762,-99.0719083,19.3817299,-99.1649891
1,Alfredo Baranda,Bondojito,5,30,transporte,3,19.2799356,-98.9459245,19.466251899999996,-99.1103392
2,Alfredo Baranda,Bondojito,12,0,transporte,1,19.2799356,-98.9459245,19.466251899999996,-99.1103392
3,Alfredo Baranda,Buenavista-Reforma,5,0,transporte,2,19.2799356,-98.9459245,19.4259383,-99.1937047
4,Alfredo Baranda,Buenavista-Reforma,5,30,transporte,1,19.2799356,-98.9459245,19.4259383,-99.1937047
5,Alfredo Baranda,Buenavista-Reforma,6,0,transporte,1,19.2799356,-98.9459245,19.4259383,-99.1937047
6,Alfredo Baranda,Buenavista-Reforma,7,0,transporte,5,19.2799356,-98.9459245,19.4259383,-99.1937047
7,Alfredo Baranda,Buenavista-Reforma,8,0,transporte,1,19.2799356,-98.9459245,19.4259383,-99.1937047
8,Alfredo Baranda,Buenavista-Reforma,9,0,transporte,2,19.2799356,-98.9459245,19.4259383,-99.1937047
9,Alfredo Baranda,Buenavista-Reforma,9,30,transporte,1,19.2799356,-98.9459245,19.4259383,-99.1937047
10,Alfredo Baranda,Buenavista-Reforma,17,0,transporte,1,19.2799356,-98.9459245,19.4259383,-99.1937047
11,Alfredo Baranda,CC Plaza Neza,10,0,transporte,1,19.2799356,-98.9459245,19.425033300000003,-99.0235951
12,Alfredo Baranda,CC Plaza Neza,12,0,transporte,1,19.2799356,-98.9459245,19.425033300000003,-99.0235951
13,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,5,0,auto,2,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
14,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,6,0,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
15,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,6,30,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
16,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,6,30,transporte,2,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
17,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,6,45,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
18,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,6,45,transporte,4,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
19,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,7,0,auto,6,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
20,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,7,0,transporte,2,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
21,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,7,15,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
22,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,7,15,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
23,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,7,30,auto,4,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
24,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,7,30,transporte,2,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
25,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,8,0,auto,6,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
26,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,8,0,transporte,3,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
27,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,8,15,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
28,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,8,30,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
29,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,9,0,auto,5,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
30,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,9,0,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
31,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,9,15,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
32,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,10,0,auto,3,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
33,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,10,30,transporte,2,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
34,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,12,30,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
35,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,13,0,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
36,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,13,30,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
37,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,13,45,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
38,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,14,0,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
39,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,14,30,transporte,2,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
40,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,15,0,transporte,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
41,Alfredo Baranda,CC Sendero Valle de Chalco-Santiago,19,15,auto,1,19.2799356,-98.9459245,19.300058899999996,-98.95265400000001
42,Alfredo Baranda,Centro Histórico,4,0,transporte,2,19.2799356,-98.9459245,19.4357068,-99.131757
43,Alfredo Baranda,Centro Histórico,4,15,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
44,Alfredo Baranda,Centro Histórico,4,45,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
45,Alfredo Baranda,Centro Histórico,5,0,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
46,Alfredo Baranda,Centro Histórico,5,30,transporte,3,19.2799356,-98.9459245,19.4357068,-99.131757
47,Alfredo Baranda,Centro Histórico,6,0,transporte,4,19.2799356,-98.9459245,19.4357068,-99.131757
48,Alfredo Baranda,Centro Histórico,6,30,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
49,Alfredo Baranda,Centro Histórico,7,0,transporte,7,19.2799356,-98.9459245,19.4357068,-99.131757
50,Alfredo Baranda,Centro Histórico,7,15,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
51,Alfredo Baranda,Centro Histórico,7,30,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
52,Alfredo Baranda,Centro Histórico,8,0,transporte,4,19.2799356,-98.9459245,19.4357068,-99.131757
